latitude,longitude,station_name
-8.27920,-35.0633,PIRAPAMA 
-8.63750,-35.3056,ENGENHO MATO GROSSO 
-8.67940,-35.5772,PALMARES 
-8.48330,-36.2333,CACHOEIRINHA 
-8.88330,-36.4833,GARANHUNS (RFN) 
-8.50000,-36.9667,PEDRA 
-8.81670,-36.0500,QUIPAPA (RFN) 
-8.31670,-36.1500,SAO CAETANO 
-8.31670,-36.3000,TACAIMBO 
-8.43330,-37.0667,ARCOVERDE 
-8.95000,-37.4333,ITAIBA 
-8.00060,-38.2447,SERRA TALHADA 
-8.11670,-42.9500,CANTO DO BURITI 
-8.96860,-48.1761,PEDRO AFONSO 
-9.11670,-36.3333,CORRENTES 
-11.0233,-68.7350,BRASILEIA 
-12.9333,-38.5000,AREIAL DE CIMA 
-18.5622,-39.7472,CONCEICAO DA BARRA 
-19.8500,-40.6000,SANTA TERESA 
-19.9714,-44.2017,BETIM 
-21.7500,-43.3333,JUIZ DE FORA 
-22.0353,-42.9908,ANTA 
-23.3667,-45.6833,ALFERES 
-27.4114,-49.8314,AGROLANDIA 
-3.46670,-42.3667,LUZILANDIA (PORTO ALEGRE) 
-8.16670,-35.1833,TAPACURA 
-23.4333,-47.0667,ARACARIGUAMA 
-19.4686,-45.6017,DORES DO INDAIA (CVSF) 
-19.2167,-45.0000,POMPEU 
-19.6000,-46.9000,BARREIRO DO ARAXA (INMET) 
-19.5833,-46.9000,ARAXA (INMET) 
-19.5667,-46.9333,ARAXA 
-19.7667,-47.9333,UBERABA 
-19.9303,-47.5428,CONQUISTA 
-19.0000,-47.0000,SACRAMENTO 
-19.0000,-47.0000,CORONEL QUITO 
-19.0058,-57.6019,CORUMBA (ETA) 
-19.9525,-54.8928,ROCHEDO 
-19.4128,-54.4906,SAO GABRIEL DO OESTE 
-19.0000,-57.6500,CORUMBA 
-19.0000,-57.6667,CORUMBA 
-20.4150,-40.4853,FAZENDA JUCURUABA 
-20.6333,-40.7500,ALFREDO CHAVES (DNOS) 
-20.1903,-40.3189,FAZENDA FONTE LIMPA (DNOS) 
-20.6522,-40.5086,GUARAPARI (DNOS) 
-20.9528,-40.9533,USINA PAINEIRAS 
-20.0283,-40.7433,SANTA MARIA DO JETIBA 
-20.8036,-40.6556,ANCHIETA (DNOS) 
-20.1003,-40.5278,SANTA LEOPOLDINA 
-20.5567,-40.8114,MATILDE (DNOS) 
-20.4119,-40.6822,MARECHAL FLORIANO (DNOS) 
-20.8811,-40.9433,RIO NOVO DO SUL 
-20.3333,-40.2833,SAO TORQUATO (DNOS) 
-20.3000,-40.3333,VITORIA - BENTO FERREIRA 
-20.5156,-40.3636,PONTA DA FRUTA 
-20.9128,-41.1950,ATILIO VIVACQUA 
-20.7736,-41.6817,GUACUI 
-20.7469,-41.4661,RIVE 
-20.6939,-41.9219,CAIANA 
-20.1081,-41.7283,DORES DO MANHUMIRIM 
-20.7019,-41.0164,JACIGUA (DNOS) 
-20.3458,-41.5375,IUNA 
-20.1433,-40.9753,GARRAFAO (DNOS) 
-20.8500,-41.1000,CACHOEIRO DO ITAPEMIRIM (DNOS) 
-20.3333,-40.7167,SOIDO 
-20.3764,-40.4461,CANAA 
-20.3500,-41.9500,PARADA DA INDEPENDENCIA 
-20.4500,-41.4000,MUNIZ FREIRE (DNOS) 
-20.9447,-41.4008,FAZENDA MONTE ALEGRE 
-20.5406,-41.6656,IBITIRAMA 
-20.3228,-41.7042,SANTA CRUZ - CAPARAO 
-20.3667,-41.0611,ARACE (FAZENDA MODELO) 
-20.0786,-41.1214,AFONSO CLAUDIO - MONTANTE 
-20.4333,-41.4833,TERRA CORRIDA (DNOS) 
-20.8500,-41.1167,CACHOEIRO DO ITAPEMIRIM 
-20.3167,-41.1667,VENDA NOVA 
-20.7400,-42.0239,CARANGOLA 
-20.7500,-42.8833,VICOSA 
-20.1036,-42.4400,RAUL SOARES - MONTANTE 
-20.7833,-41.2500,PACOTUBA 
-20.7261,-42.9172,SERIQUITE 
-20.6825,-42.8067,SAO MIGUEL DO ANTA 
