latitude,longitude,station_name
-8.27920,-35.0633,PIRAPAMA 
-8.63750,-35.3056,ENGENHO MATO GROSSO 
-8.67940,-35.5772,PALMARES 
-8.33330,-36.4500,BELO JARDIM 
-8.48330,-36.2333,CACHOEIRINHA 
-8.35000,-36.8500,CIMBRES 
-8.88330,-36.4833,GARANHUNS (RFN) 
-8.88330,-36.4833,GARANHUNS 
-8.50000,-36.9667,PEDRA 
-8.81670,-36.0500,QUIPAPA (RFN) 
-8.31670,-36.1500,SAO CAETANO 
-8.95000,-36.6667,SALOA (BARRO) 
-8.13330,-36.5500,SITIO SEVERO 
-8.31670,-36.3000,TACAIMBO 
-8.23330,-36.5833,XUCURU (ALDEIA VELHA) 
-8.14560,-36.3703,BREJO DA MADRE DE DEUS 
-8.76670,-37.0500,AMARO 
-8.15000,-37.0167,SAO SEBASTIAO DO UMBUZEIRO 
-8.43330,-37.0667,ARCOVERDE 
-8.18330,-37.9167,FAZENDA CACHOEIRA DO LEITE 
-8.35000,-37.7500,FAZENDA CAICARA 
-8.96670,-37.0167,FAZENDA GARCIA 
-8.41670,-37.9333,FAZENDA JACARE 
-8.28330,-37.1833,HENRIQUE DIAS 
-8.90000,-37.8333,INAJA 
-8.95000,-37.4333,ITAIBA 
-8.38330,-37.6333,IBIMIRIM (JERITACO) 
-8.71670,-37.5333,MOXOTO 
-8.15000,-37.4833,RIO DA BARRA 
-8.08330,-38.4333,FAZENDA QUIXABA 
-8.11670,-38.7333,MIRANDIBA (SAO JOAO DE CAMPOS) 
-8.16670,-38.2167,TAUAPIRANGA 
-8.03330,-38.1333,VARZINHA 
-8.84810,-38.7664,RODELAS 
-8.00060,-38.2447,SERRA TALHADA 
-8.23330,-38.5333,ACUDE SERRINHA 
-8.26280,-39.8472,JACARE 
-8.17780,-39.7314,POCO DO FUMO 
-8.61610,-39.9994,FAZENDA SAO BENTO 
-8.95000,-40.5000,URUAS 
-8.51670,-42.4500,BOA ESPERANCA 
-8.11670,-42.9500,CANTO DO BURITI 
-8.61670,-42.1333,MOREIRA 
-8.36670,-42.6000,SERRA DO FAUSTINO 
-8.39920,-48.1303,TUPIRATINS 
-8.96860,-48.1761,PEDRO AFONSO 
-9.11670,-36.3333,CORRENTES 
-9.96670,-36.9833,TRAIPU 
-9.68360,-36.3036,ANADIA 
-11.0233,-68.7350,BRASILEIA 
-12.9333,-38.5000,AREIAL DE CIMA 
-13.8667,-40.0833,JEQUIE 
-15.0631,-48.1664,MIMOSO 
-16.6611,-49.4878,TRINDADE 
-18.5622,-39.7472,CONCEICAO DA BARRA 
-18.0931,-51.4969,POMBAL 
-19.8500,-40.6000,SANTA TERESA 
-19.9714,-44.2017,BETIM 
-20.7667,-48.5167,NOVA PRATA 
-20.2908,-57.6478,TARUMA 
-21.7500,-43.3333,JUIZ DE FORA 
-21.1183,-56.4800,BONITO 
-22.0353,-42.9908,ANTA 
-23.3667,-45.6833,ALFERES 
-25.0333,-53.6000,SANTA TEREZA 
-3.92890,-38.3933,BERRA BODE-ETS 
-3.46670,-42.3667,LUZILANDIA (PORTO ALEGRE) 
-23.4333,-47.0667,ARACARIGUAMA 
-7.40000,-39.1333,JAMACARU 
-6.63330,-41.2833,CURRALINHO 
-19.4686,-45.6017,DORES DO INDAIA (CVSF) 
-19.1631,-45.4425,ABAETE 
-19.7333,-45.2500,BOM DESPACHO 
-19.8794,-46.0328,TAPIRAI - JUSANTE 
-19.6000,-46.9000,BARREIRO DO ARAXA (INMET) 
-19.5833,-46.9000,ARAXA (INMET) 
-19.4750,-46.5419,IBIA 
-19.5167,-46.5711,FAZENDA SAO MATEUS 
-19.5667,-46.9333,ARAXA 
-19.0033,-46.3061,CARMO DO PARANAIBA 
-19.3158,-47.5261,SANTA JULIANA 
-19.0500,-47.9333,INDIANOPOLIS 
-19.1833,-47.1000,PORTO DA MANDIOCA 
-19.5375,-47.4531,ZELANDIA 
-19.2469,-48.5661,FAZENDA PARAISO 
-19.9667,-49.6833,RIOLANDIA 
-19.2133,-49.7881,GURINHATA 
